Doc ID	Doc Type	Score	Frac
1	1	8	0.945812807882
2	1	9	0.914893617021
3	1	7	0.952830188679
4	1	10	0.809369951535
5	1	8	0.960302457467
6	1	8	0.898916967509
7	1	10	0.959390862944
8	1	10	0.961344537815
9	1	9	0.955769230769
10	1	9	0.953767123288
11	1	8	0.918848167539
12	1	8	0.884875846501
13	1	7	0.876777251185
14	1	6	0.882530120482
15	1	6	0.92
16	1	12	0.91325695581
17	1	8	0.977386934673
18	1	8	0.967213114754
19	1	4	0.583333333333
20	1	6	0.896174863388
21	1	8	0.938725490196
22	1	3	0.932203389831
23	1	10	0.898839137645
24	1	11	0.916905444126
25	1	8	0.957703927492
26	1	9	0.881395348837
27	1	4	0.867132867133
28	1	9	0.95145631068
29	1	9	0.932126696833
30	1	8	0.976271186441
31	1	10	0.910034602076
32	1	10	0.902192242833
33	1	6	0.90625
34	1	8	0.931764705882
35	1	9	0.977459016393
36	1	10	0.902173913043
37	1	12	0.915921288014
38	1	8	0.963157894737
39	1	10	0.954356846473
40	1	7	0.932735426009
41	1	2	0.977272727273
42	1	8	0.931596091205
43	1	6	0.962264150943
44	1	8	0.922222222222
45	1	8	0.912234042553
46	1	8	0.985422740525
47	1	8	0.939655172414
48	1	11	0.967492260062
49	1	6	0.988732394366
50	1	5	0.921348314607
51	1	9	0.954098360656
52	1	7	0.905303030303
53	1	8	0.959349593496
54	1	10	0.931589537223
55	1	8	0.939393939394
56	1	10	0.966666666667
57	1	9	0.916666666667
58	1	7	0.948275862069
59	1	8	0.911468812877
60	1	4	0.951807228916
61	1	8	0.976608187135
62	1	8	0.940251572327
63	1	8	0.942073170732
64	1	7	0.924686192469
65	1	9	0.936863543788
66	1	9	0.959232613909
67	1	8	0.95166163142
68	1	9	0.949260042283
69	1	7	0.964912280702
70	1	12	0.870588235294
71	1	10	0.926530612245
72	1	10	0.93137254902
73	1	8	0.82869379015
74	1	7	0.989247311828
75	1	8	0.977040816327
76	1	8	0.862244897959
77	1	10	0.928684627575
78	1	10	0.892996108949
79	1	10	0.946135831382
80	1	8	0.862869198312
81	1	8	0.933333333333
82	1	8	0.941358024691
83	1	7	0.959641255605
84	1	6	0.905405405405
85	1	10	0.96463022508
86	1	8	0.907725321888
87	1	10	0.898876404494
88	1	9	0.952182952183
89	1	6	0.966417910448
90	1	7	0.954887218045
91	1	8	0.887596899225
92	1	11	0.89460476788
93	1	11	0.915064102564
94	1	8	0.959459459459
95	1	10	0.885454545455
96	1	7	0.908745247148
97	1	8	0.889855072464
98	1	11	0.915983606557
99	1	8	0.820330969267
100	1	7	0.864468864469
101	1	10	0.932727272727
102	1	8	0.98087431694
103	1	9	0.919087136929
104	1	10	0.963829787234
105	1	9	0.913112164297
106	1	11	0.946386946387
107	1	10	0.944217687075
108	1	8	0.930875576037
109	1	8	0.95717884131
110	1	6	0.963898916968
111	1	11	0.905775075988
112	1	9	0.901709401709
113	1	8	0.893333333333
114	1	8	0.948387096774
115	1	9	0.894480519481
116	1	4	0.967213114754
117	1	8	0.960526315789
118	1	12	0.825136612022
119	1	10	0.915702479339
120	1	8	0.950704225352
121	1	8	0.769411764706
122	1	9	0.955149501661
123	1	10	0.95464362851
124	1	7	0.944827586207
125	1	5	0.960451977401
126	1	8	0.945945945946
127	1	9	0.997747747748
128	1	9	0.971553610503
129	1	10	0.944214876033
130	1	10	0.962063732929
131	1	10	0.897838899804
132	1	11	0.87134502924
133	1	10	0.90499194847
134	1	10	0.945414847162
135	1	7	0.892617449664
136	1	9	0.894099848714
137	1	7	0.948339483395
138	1	10	0.942731277533
139	1	7	0.970873786408
140	1	9	0.915865384615
141	1	10	0.905829596413
142	1	10	0.94623655914
143	1	7	0.894285714286
144	1	9	0.971486761711
145	1	10	0.923990498812
146	1	6	0.78
147	1	12	0.929307805596
148	1	9	0.940298507463
149	1	8	0.901467505241
150	1	8	0.886111111111
151	1	8	0.957692307692
152	1	6	0.943005181347
153	1	9	0.961538461538
154	1	12	0.93786407767
155	1	10	0.926147704591
156	1	8	0.934306569343
157	1	9	0.815498154982
158	1	9	0.9225
159	1	10	0.940035273369
160	1	8	0.991071428571
161	1	10	0.937751004016
162	1	12	0.949919224556
163	1	8	0.88122605364
164	1	8	0.961403508772
165	1	9	0.82119205298
166	1	10	0.892523364486
167	1	8	0.91959798995
168	1	9	0.908536585366
169	1	6	0.944134078212
170	1	8	0.919480519481
171	1	8	0.958333333333
172	1	8	0.919413919414
173	1	8	0.928327645051
174	1	8	0.857894736842
175	1	8	0.903141361257
176	1	10	0.950782997763
177	1	8	0.967479674797
178	1	8	0.808049535604
179	1	8	0.948484848485
180	1	10	0.896946564885
181	1	10	0.923933209647
182	1	8	0.966565349544
183	1	8	0.934782608696
184	1	8	0.909952606635
185	1	8	0.956862745098
186	1	8	0.956873315364
187	1	5	0.948717948718
188	1	9	0.955357142857
189	1	6	0.961290322581
190	1	10	0.935064935065
191	1	8	0.964539007092
192	1	11	0.905525846702
193	1	8	0.961968680089
194	1	10	0.942810457516
195	1	5	0.87417218543
196	1	8	0.943396226415
197	1	10	0.928571428571
198	1	10	0.912601626016
199	1	11	0.870786516854
200	1	8	0.880668257757
201	1	9	0.927631578947
202	1	8	0.951690821256
203	1	10	0.98731884058
204	1	10	0.93453724605
205	1	10	0.881597717546
206	1	10	0.93006993007
207	1	8	0.975609756098
208	1	6	0.988165680473
209	1	6	0.938888888889
210	1	9	0.956621004566
211	1	6	0.95652173913
212	1	7	0.963696369637
213	1	8	0.969444444444
214	1	8	0.86402266289
215	1	10	0.861154446178
216	1	8	0.946188340807
217	1	10	0.917682926829
218	1	8	0.911458333333
219	1	9	0.914473684211
220	1	10	0.771863117871
221	1	6	0.949152542373
222	1	9	0.832402234637
223	1	8	0.924489795918
224	1	8	0.886010362694
225	1	12	0.931854199683
226	1	8	0.926829268293
227	1	9	0.917452830189
228	1	8	0.829131652661
229	1	8	0.920489296636
230	1	9	0.92337164751
231	1	8	0.928348909657
232	1	12	0.911042944785
233	1	7	0.746543778802
234	1	8	0.959227467811
235	1	7	0.948328267477
236	1	6	0.850678733032
237	1	8	0.925619834711
238	1	9	0.97191011236
239	1	9	0.987780040733
240	1	8	0.888888888889
241	1	9	0.840425531915
242	1	9	0.919449901768
243	1	11	0.979797979798
244	1	7	0.949602122016
245	1	7	0.960227272727
246	1	11	0.961073825503
247	1	8	0.940119760479
248	1	9	0.946886446886
249	1	9	0.845036319613
250	1	10	0.910081743869
251	1	9	0.96546310832
252	1	9	0.946004319654
253	1	6	0.930909090909
254	1	10	0.902985074627
255	1	8	0.962365591398
256	1	8	0.907185628743
257	1	8	0.934322033898
258	1	11	0.970989761092
259	1	9	0.952286282306
260	1	7	0.96
261	1	9	0.930830039526
262	1	8	0.949206349206
263	1	10	0.919931856899
264	1	8	0.913752913753
265	1	11	0.894422310757
266	1	11	0.890688259109
267	1	10	0.894934333959
268	1	8	0.960912052117
269	1	9	0.917211328976
270	1	8	0.963302752294
271	1	8	0.950953678474
272	1	10	0.904468412943
273	1	8	0.833836858006
274	1	9	0.867678958785
275	1	11	0.960352422907
276	1	8	0.945205479452
277	1	9	0.925155925156
278	1	8	0.965014577259
279	1	10	0.970238095238
280	1	10	0.885416666667
281	1	7	0.904580152672
282	1	8	0.895890410959
283	1	6	0.94262295082
284	1	8	0.949101796407
285	1	11	0.923688394277
286	1	4	0.911392405063
287	1	12	0.836795252226
288	1	8	0.940721649485
289	1	10	0.946004319654
290	1	11	0.976114649682
291	1	11	0.921153846154
292	1	11	0.925986842105
293	1	8	0.923076923077
294	1	10	0.866666666667
295	1	10	0.967005076142
296	1	10	0.926126126126
297	1	9	0.927102803738
298	1	8	0.97641509434
299	1	8	0.955613577023
300	1	8	0.867741935484
301	1	9	0.828442437923
302	1	10	0.907185628743
303	1	10	0.939163498099
