3421	18	16		34				4	4	4	4	4	3	3	4	4	4	3	3						
3967	21	26	46	46				5	4	5	4	4	4	6	5	6	6	5	5	5	5	5	5	5	4
4411	15	20	40	40				3	3	3	3	3	3	4	4	5	4	4	4	4	4	4	4	4	4
3419	12	20	30	30				3	3	3	3	2	2	4	4	4	4	4	4	3	3	3	3	3	3
2945	11	15		26				3	2	3	3	2	2	3	3	3	3	3	3						
4053	20	18	40	40				4	4	3	4	4	4	4	4	5	4	4	3	4	4	4	4	4	4
4453	20	20		40				4	4	4	4	4	4	4	4	4	4	4	4						
1447	15	19		34				3	3	3	3	3	3	4	3	4	4	4	4						
4009	21	20		41				4	5	4	5	4	4	4	4	4	4	4	4						
3011	20	20		40				4	4	4	4	4	4	4	4	5	4	4	4						
2257	16	15		31				3	4	4	3	3	3	3	3	4	3	3	3						
4775	23	16	44	44				5	5	5	5	5	4	4	3	3	3	3	3	5	5	5	5	4	4
3810	15	16		31				3	3	3	3	3	3	4	3	4	3	3	3						
2972	18	18		36				3	4	4	3	3	4	4	4	4	4	4	3						
4504	23	20		43				4	4	5	5	5	5	4	4	4	4	4	4						
729	10	10		20				2	2	2	2	2	2	2	2	3	3	2	2						
3839	20	25		45				4	4	4	4	4	4	5	5	5	5	5	5						
2701	20	20		40				4	4	5	4	4	4	4	4	4	4	4	4						
3636	15	15		30				3	3	4	3	3	3	3	3	4	3	3	3						
1515	15	20		35				3	3	3	3	3	3	4	4	4	4	4	4						
3227	20	20		40				4	4	3	4	4	4	4	4	4	4	4	4						
4642	22	20		42				5	5	5	4	4	4	4	4	4	4	4	4						
2728	16	18		34				3	4	4	4	3	3	4	4	4	4	4	3						
4151	17	16		33				4	4	4	4	3	3	4	3	3	4	3	3						
1863	18	20		38				3	3	4	4	4	4	4	4	4	4	4	4						
3471	19	17		36				4	4	4	3	3	4	4	4	4	3	3	3						
3081	20	25		45				4	4	4	4	4	4	5	5	5	5	5	5						
4172	16	15		31				4	3	4	3	3	3	3	3	4	4	3	3						
1253	15	15		30				3	3	4	3	3	3	3	3	3	3	3	3						
3723	18	16		34				4	4	4	4	4	3	3	3	4	4	4	3						
3878	15	18		33				3	3	3	3	3	3	4	4	4	4	4	3						
4423	23	18	40	40				5	5	5	4	5	4	3	3	3	4	4	4	4	4	4	4	4	4
3895	23	24		47				4	4	5	5	5	5	4	5	5	5	5	5						
4543	15	15	30	30				3	3	4	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3
4459	20	20		40				4	4	4	4	4	4	4	4	4	4	4	4						
2352	15	17		32				3	3	4	4	3	3	3	4	4	4	4	3						
4352	19	20	40	40				4	4	4	4	3	4	4	4	5	4	4	4	4	4	4	4	4	4
1493	15	15		30				3	3	3	3	3	3	3	3	4	4	3	3						
